Item #,Diameter (mm),Focal Length (mm),Radius of Curvature (mm),Center Thickness (mm),Edge Thickness (mm),Back Focal Length (mm)
89-412,4.5,15.0,6.88,1.7,1.23,13.83
89-413,4.5,20.0,9.17,1.5,1.15,18.97
48-664,5.4,15.0,6.88,2.0,1.31,13.63
45-692,5.4,18.0,8.25,2.0,1.44,16.62
45-693,8.1,13.5,6.19,3.0,1.06,11.44
45-694,8.1,18.0,8.25,3.0,1.66,15.94
36-681,8.1,22.0,10.09,3.0,1.94,19.94
36-682,9.0,20.0,9.17,3.0,1.52,17.94
48-026,11.0,40.0,18.34,3.13,2.12,37.85
48-668,11.0,18.0,8.25,4.0,1.41,15.26
LA4001,12.7,15.0,6.9,6.0,1.8,10.9
LA4042,12.7,60.0,27.5,2.5,1.8,58.2
84-280,14.0,60.0,27.51,3.0,1.96,57.94
36-688,17.0,54.0,24.76,3.5,1.81,51.6
49-961,19.0,40.0,18.34,4.5,1.53,36.92
49-963,19.0,60.0,27.51,3.5,1.62,57.6
36-690,24.0,40.0,18.34,7.5,2.58,34.86
48-273,24.0,38.0,17.42,7.25,1.96,33.03
48-670,24.0,60.0,27.51,4.5,1.5,56.92
LA4022,25.4,60.0,27.5,5.1,2.0,56.5
84-283,29.0,60.0,27.51,6.0,1.55,55.89
